breadth,stop_atr,target_atr,hold_days,train_trades,train_return,train_win_rate,train_pf,train_dd,oos_trades,oos_return,oos_win_rate,oos_pf,oos_dd
0.42,1.75,3.0,10,25,0.10412626287022153,0.56,1.9835852255544646,-0.04595335722215736,33,0.2508818003655211,0.7272727272727273,3.481615162926378,-0.047786346134091856
0.42,1.75,3.0,12,24,0.12063591698359288,0.625,2.308412633753368,-0.028723082699103265,31,0.2092884819148355,0.6774193548387096,3.035616830857453,-0.047786346134091856
0.42,1.75,3.5,10,23,0.1858304084963005,0.6956521739130435,3.567415779371008,-0.029193238588245334,28,0.19553401246801982,0.7142857142857143,3.643563092693861,-0.047786346134091856
0.42,1.75,3.5,12,23,0.24953535203026567,0.782608695652174,5.704373318049851,-0.02352321939352113,27,0.1749544712546336,0.7037037037037037,2.922586978482126,-0.047786346134091856
0.42,1.75,4.0,10,23,0.19808738852504315,0.6521739130434783,3.2767952937174596,-0.025026668731294104,29,0.1636677074662567,0.6206896551724138,2.40498464191114,-0.047786346134091856
0.42,1.75,4.0,12,20,0.211727284145812,0.7,4.254873694121316,-0.02344752173453329,27,0.20116788601389612,0.5925925925925926,2.919782179054359,-0.047786346134091856
0.42,2.0,3.0,10,23,0.12370392355213489,0.6956521739130435,2.809897657870025,-0.02700608502661916,34,0.20883080511400265,0.7058823529411765,2.866976388699128,-0.04474831779925269
0.42,2.0,3.0,12,23,0.14084068301898012,0.7391304347826086,3.1176420807942784,-0.023456435552857455,34,0.2113290950175457,0.6764705882352942,2.903726126262736,-0.04051245748473347
0.42,2.0,3.5,10,23,0.1841804432915064,0.7391304347826086,4.058157315368467,-0.022288852101497225,30,0.22348720374807418,0.7333333333333333,4.066015008968689,-0.04051245748473347
0.42,2.0,3.5,12,21,0.19956657633139963,0.8095238095238095,6.4518329824827605,-0.03846506389031481,28,0.16927302572862102,0.6785714285714286,2.9993627177961537,-0.045058240056387124
0.42,2.0,4.0,10,21,0.13470184871895619,0.6190476190476191,2.6648780076939143,-0.023310247491545123,27,0.18443523830517194,0.7037037037037037,3.0545766296194836,-0.04051245748473347
0.42,2.0,4.0,12,18,0.16054627802721222,0.7222222222222222,4.29989007859906,-0.02404260955573116,25,0.11087381543339059,0.6,2.2198174425218893,-0.04298370484411201
0.42,2.25,3.0,10,23,0.09862197699414499,0.6521739130434783,2.4917697453559495,-0.030950317063824347,34,0.19015905031314784,0.7352941176470589,3.0533127252323236,-0.03991341215613457
0.42,2.25,3.0,12,22,0.11414910596279504,0.7272727272727273,3.050758412498235,-0.027872048632388662,33,0.1714858797939831,0.6666666666666666,2.7701269528008883,-0.038770874434403586
0.42,2.25,3.5,10,22,0.1407101107099764,0.7272727272727273,3.540542404866472,-0.02769700093372628,30,0.18929942229005947,0.7333333333333333,3.662017721437139,-0.038770874434403586
0.42,2.25,3.5,12,20,0.18568974133380434,0.85,9.06408440840995,-0.034528917697085326,28,0.14707834543897413,0.6785714285714286,2.9270501133911164,-0.038770874434403586
0.42,2.25,4.0,10,21,0.15104140743479455,0.7142857142857143,3.7991146656723456,-0.019808947744526077,27,0.15286341787852598,0.7037037037037037,2.7312378300829288,-0.038770874434403586
0.42,2.25,4.0,12,19,0.1285616711862021,0.6842105263157895,3.083910021330001,-0.035035298106021164,25,0.09473882169415826,0.6,2.1380506812450832,-0.038770874434403586
0.46,1.75,3.0,10,24,0.1410936469654096,0.625,2.692340345201516,-0.027274188455634858,33,0.2508818003655211,0.7272727272727273,3.481615162926378,-0.047786346134091856
0.46,1.75,3.0,12,23,0.13821628832781485,0.6521739130434783,2.736771044590787,-0.02293227486194505,30,0.21088403386483545,0.7,3.0834689565397695,-0.047786346134091856
0.46,1.75,3.5,10,22,0.18143568015752054,0.6818181818181818,3.714635303228128,-0.03755467684253941,27,0.1992889349680198,0.7407407407407407,3.838422379252024,-0.047786346134091856
0.46,1.75,3.5,12,22,0.2684712283494184,0.8181818181818182,7.835526058874104,-0.02352321939352113,26,0.18603281879463363,0.7307692307692307,3.3277041418123936,-0.047786346134091856
0.46,1.75,4.0,10,23,0.19808738852504315,0.6521739130434783,3.2767952937174596,-0.025026668731294104,27,0.1763579170962568,0.6666666666666666,2.6990077815067304,-0.047786346134091856
0.46,1.75,4.0,12,20,0.211727284145812,0.7,4.254873694121316,-0.02344752173453329,27,0.20116788601389612,0.5925925925925926,2.919782179054359,-0.047786346134091856
0.46,2.0,3.0,10,22,0.12148836543115649,0.6818181818181818,2.949448029530586,-0.034326570505736086,34,0.20883080511400265,0.7058823529411765,2.866976388699128,-0.04474831779925269
0.46,2.0,3.0,12,22,0.1637649902728604,0.7727272727272727,4.421403854547228,-0.020439965779419294,32,0.22254026786754566,0.71875,3.229930185042038,-0.04051245748473347
0.46,2.0,3.5,10,22,0.2013956133540149,0.7727272727272727,5.256705334225087,-0.022288852101497225,29,0.22685030824807417,0.7586206896551724,4.262688380135629,-0.04051245748473347
0.46,2.0,3.5,12,21,0.19956657633139963,0.8095238095238095,6.4518329824827605,-0.03846506389031481,27,0.1790509642886211,0.7037037037037037,3.390994798458992,-0.04051245748473347
0.46,2.0,4.0,10,21,0.13470184871895619,0.6190476190476191,2.6648780076939143,-0.023310247491545123,26,0.1536051674956178,0.6923076923076923,2.7099812851624923,-0.04051245748473347
